           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;86;ACEH
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;191;"SUMATERA UTARA"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;124;"SUMATERA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;73;RIAU
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;68;JAMBI
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;88;"SUMATERA SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;94;BENGKULU
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;234;LAMPUNG
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;84;"KEP. BANGKA BELITUNG"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;241;"KEP. RIAU"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;15328;"DKI JAKARTA"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;1320;"JAWA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;1030;"JAWA TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;1174;"DI YOGYAKARTA"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;813;"JAWA TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;1237;BANTEN
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;718;BALI
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;260;"NUSA TENGGARA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;105;"NUSA TENGGARA TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;33;"KALIMANTAN BARAT"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;16;"KALIMANTAN TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;103;"KALIMANTAN SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;27;"KALIMANTAN TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;9;"KALIMANTAN UTARA"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;174;"SULAWESI UTARA"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;47;"SULAWESI TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;182;"SULAWESI SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;66;"SULAWESI TENGGARA"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;101;GORONTALO
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;76;"SULAWESI BARAT"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;36;MALUKU
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;36;"MALUKU UTARA"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;9;"PAPUA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;10;PAPUA
"Kepadatan Penduduk";"Tidak Ada";2015;Tahun;134;INDONESIA
